id,kode,tahun,PER,PBR,ROE,DER,DPR,Target
1,BBCA,2019,28.85,4.74,17.54,0.06,111,6
4,BBRI,2019,15.66,2.61,17.66,0.67,164.1,4
7,BMRI,2019,13.03,1.75,14.25,0.51,176.67,3
10,BBNI,2019,9.52,1.19,13.34,0.61,103.12,2
13,BRIS,2019,43.32,0.63,1.46,0.68,0,1
16,SMMA,2019,19.47,4.9,25.39,0.4,0,6
19,MEGA,2019,22.08,2.85,13.66,0.65,85.29,4
22,BNGA,2019,6.6,0.56,8.8,0.55,55.39,1
25,TOWR,2019,17.32,4.63,9.25,0.54,23.86,6
28,ARTO,2019,0,0,0,0,0,0
31,BNLI,2019,23.64,1.48,6.45,0.42,0,2
34,NISP,2019,6.6,0.7,11.28,0.71,0,1
37,CASA,2019,0,0,0,0,0,0
40,PNBN,2019,9.7,0.78,8.38,0.72,0,1
43,BDMN,2019,10.43,0.86,8.58,0.63,187.55,2
46,MKPI,2019,24.99,2.79,8.61,0,158.2,4
49,BTPN,2019,10.04,0.88,10.84,1.97,0,2
52,BINA,2019,0,0,0,0,0,0
55,CTRA,2019,16.65,1.26,3.29,0,8,2
58,SRTG,2019,1.34,0.43,31.52,0,11,1
61,BBHI,2019,0,0,0,0,0,0
64,BSDE,2019,8.54,0.82,5.24,3.93,0,3
67,PWON,2019,10.09,1.83,10.64,0,0,2
70,BNII,2019,8.52,0.6,7.23,0.95,4.84,1
73,BBTN,2019,107.29,0.94,0.88,2.25,1.91,3
76,BSIM,2019,0,0,0,0,0,0
79,BBSI,2019,0,0,0,0,0,0
82,MPRO,2019,0,0,0,0,0,0
85,BFIN,2019,11.77,1.38,3.73,0,12,2
88,BANK,2019,0,0,0,0,0,0
91,ADMF,2019,4.93,1.29,27.92,2.83,1.05,3
94,LIFE,2019,28.34,1.65,3.83,0.28,74,3
97,APIC,2019,0,0,0,0,0,0
100,BBKP,2019,0,0,0,0,0,0
103,INPP,2019,4.63,1.64,27.12,2.43,4.5,3
106,BJBR,2019,7.48,0.97,13.42,1.57,93.76,2
109,BMAS,2019,26.63,1.29,4.92,0.35,0,2
112,PLIN,2019,16.39,1.01,7.02,1.64,99,2
115,RISE,2019,0,0,0,0,0,0
118,JRPT,2019,8.11,1.16,9.37,0,24,2
121,BTPS,2019,23.39,6.07,29.81,0,45,8
124,SMRA,2019,28.15,1.97,2.16,1.24,0,3
127,BJTM,2019,7.46,1.14,15.74,0.64,48.2,2
130,MAYA,2019,110.74,5.04,4.57,0.22,0,7
133,MFIN,2019,9.14,1.51,9.03,0,30,2
136,DUTI,2019,8.39,1.06,8.35,0,300,2
139,DMAS,2019,10.69,2.2,17.66,3.71,42,5
142,BBMD,2019,46.25,3.29,7.54,0.08,0,4
145,SDRA,2019,10.93,0.79,7.41,1.41,12.31,2
148,AGRO,2019,82.76,0.94,1.15,0.28,0,2
151,BKSL,2019,0,0,0,0,0,0
154,LPKR,2019,0,0.59,3.78,5.41,0,3
157,KPIG,2019,0,0,0,0,0,0
160,NOBU,2019,0,0,0,0,0,0
163,GMTD,2019,0,2.35,5.94,1.63,0,3
166,MASB,2019,0,0,0,0,0,0
169,AMAR,2019,0,0,7.85,0.42,2.56,0
172,RDTX,2019,6.41,0.59,8.77,2.09,90,2
175,TUGU,2019,13.37,0.81,6.26,0.26,38.7,1
178,YULE,2019,0,0,0,0,0,0
181,BBYB,2019,95.59,1.85,2.07,0.09,0.2,3
184,NIRO,2019,0,0,0,0,0,0
187,MTLA,2019,9.12,1.24,8.62,0,6.3,2
190,ASRI,2019,4.62,0.45,4.73,1.31,0,1
193,APLN,2019,0,0.36,0.03,0,0,0
196,BACA,2019,0,0,0,0,0,0
199,MCOR,2019,0,0,0,0,0,0
202,SFAN,2019,0,0,0,0,0,0
205,KIJA,2019,51.18,1.13,0.99,6.12,0,4
208,SKRN,2019,6,1.12,8.44,2.02,12,2
211,AGRS,2019,0,0,0,0,0,0
214,BABP,2019,0,0,0,0,0,0
217,BKSW,2019,0,0,0,0,0,0
220,BCAP,2019,0,0,0,0,0,0
223,MMLP,2019,0,0,0,0,0,0
226,AMOR,2019,0,0,83.43,0,0,2
229,BNBA,2019,14.54,0.49,3.39,0,5.05,1
232,VICO,2019,0,0,0,0,0,0
235,CFIN,2019,3.2,0.25,3.12,0,0,0
238,PNBS,2019,0,0,0,0,0,0
241,TRIM,2019,0,0,0,0,0,0
244,DILD,2019,10.72,0.44,1.73,0,0,1
247,IMJS,2019,21.78,0.57,0.35,0.84,0,1
250,LPCK,2019,4.6,0.26,2.99,0,0,0
253,BCIC,2019,0,0,0,0,0,0
256,BGTG,2019,0,0,0,0,0,0
259,DNAR,2019,0,0,0,0,0,0
262,AMAG,2019,20.26,0.76,3.87,0.25,30,1
265,BSBK,2019,0,0,0,0,0,0
267,SMIL,2019,0,0,0,0,0,0
270,OMRE,2019,0,0,0,0,0,0
273,INPC,2019,0,0,0,0,0,0
276,TIFA,2019,7.84,0.7,2.42,0,0,1
279,WOMF,2019,3.7,0.7,3.04,0,22.4,1
282,BEKS,2019,0,0,0,0,0,0
285,BVIC,2019,0,0,0,0,0,0
288,PANS,2019,7.99,0.77,5.51,0,100,1
291,ADCP,2019,0,0,4.36,0,0,0
294,POLL,2019,0,0,0,0,0,0
297,GWSA,2019,0,0,0,0,0,0
300,FMII,2019,0,0,0,0,0,0
303,LPGI,2019,6.75,0.64,9.26,0.73,107,2
306,BBLD,2019,11.22,0.55,1.18,0,0,1
309,BPFI,2019,31.2,2.85,9.41,1.16,0,4
312,RELI,2019,0,0.83,0.61,0,0,1
315,JIHD,2019,0,0,0,0,0,0
318,SMDM,2019,0,0,0,0,0,0
321,GSMF,2019,0,0,0,0,0,0
324,PPRO,2019,16.05,1.05,1.45,1.55,0.56,2
327,HDFA,2019,0,0,0,0,0,0
330,MDLN,2019,6.46,0.43,0.67,0.91,0,1
333,MREI,2019,12.36,1.39,11.93,0.59,50,2
336,TRIN,2019,0,0,0,0,0,0
339,VRNA,2019,0,0,0,0,0,0
342,AHAP,2019,0,1.18,55.94,0.26,0,2
345,ASRM,2019,7.46,1.06,14.81,1.18,13.46,2
348,INDO,2019,0,0,0,0,0,0
351,ELTY,2019,0,0,0,0,0,0
354,GOLD,2019,0,0,0,0,0,0
357,SAGE,2019,0,0,0,0,0,0
360,SWID,2019,0,0,0,0,0,0
362,BKDP,2019,0,0,0,0,0,0
365,URBN,2019,0,0,0,0,0,0
368,AMAN,2019,0,0,1.95,2.46,0,1
371,FUJI,2019,0,0,0,0,0,0
374,BPTR,2019,0,0,0,0,0,0
377,MTWI,2019,0,0,0,0,0,0
380,EMDE,2019,0,0.98,1.63,0,0,1
383,TRUS,2019,0,0,0,0,0,0
386,HOMI,2019,0,0,0,0,0,0
389,ASBI,2019,13.41,0.37,2.8,0.5,5.7,1
392,TRJA,2019,0,0,5.55,0.38,0,0
395,RODA,2019,0,0,0,0,0,0
398,CITY,2019,0,0,0,0,0,0
401,PEGE,2019,18.88,1.2,4.74,0,6,2
404,STAR,2019,0,0,0,0,0,0
407,VAST,2019,0,0,0,0,0,0
410,VINS,2019,8.2,0.96,11.91,0.23,9.5,1
413,SATU,2019,0,0,0,0,0,0
416,ESTA,2019,0,0,0,0,0,0
419,PAMG,2019,0,0,0,0,0,0
422,PURI,2019,0,0,8.67,0,0,0
425,ASDM,2019,7.52,0.63,8.47,0.26,39,1
428,NICK,2019,0,0,0,0,0,0
431,CBPE,2019,0,0,0,0,0,0
